,Course Code,Average Grade
653,PS 601,8.333333333333334
654,PS 605,8.935483870967742
655,PS 609,8.26923076923077
656,PS 612,9.130434782608695
657,PS 621,8.685185185185185
658,PSS803,8.964285714285714
659,PS 627,8.4
660,PSS802,8.657894736842104
661,SC 301,7.212962962962963
662,SC 617,8.196428571428571
663,SC 625,7.263565891472868
664,SC 629,6.225806451612903
665,SC 631,7.253846153846154
666,SC 639,7.793010752688172
667,SC 694,6.9423076923076925
668,SCS801,9.0
669,SC 645,6.771929824561403
670,SCS802,9.5
671,TD 602,8.5
672,TD 603,8.69767441860465
673,TD 607,8.382352941176471
674,TD 608,8.708333333333334
675,TD 613,7.94
676,TD 621,8.5
677,TD 626,7.582278481012659
678,TD 694,8.354166666666666
679,US 602,8.471428571428572
680,US 607,8.642857142857142
681,US 609,9.923076923076923
682,US 613,9.928571428571429
683,USS801,8.6
684,US 694,9.142857142857142
685,AE 234,6.588014981273409
686,AE 236,6.142857142857143
687,AE 314,8.871621621621621
688,AE 316,8.281456953642385
689,AE 429,9.0
690,AE 607,8.841269841269842
691,AE 611,8.694444444444445
692,AE 622,7.815789473684211
693,AE 699,9.282608695652174
694,AE 727,8.547169811320755
695,AE 238,7.587020648967552
696,AE 240,6.6689655172413795
697,AE 242,7.097165991902834
698,AE 332,7.085106382978723
699,AE 427,7.877076411960133
700,AE 494,9.8125
701,AE 648,7.375
702,AE 649,7.04
703,AE 665,6.475
704,AE 667,6.521367521367521
705,AE 678,6.833333333333333
706,AE 706,7.196850393700787
707,AE 713,5.25531914893617
708,AE 714,8.429752066115702
709,AE 717,8.379310344827585
710,AE 738,6.425
711,AE 755,7.946341463414634
712,BB 101,7.8324120603015075
713,BB 513,9.162790697674419
714,BB 519,9.424657534246576
715,BB 653,8.566037735849056
716,BB 602,8.674603174603174
717,BB 610,9.524425287356323
718,BB 611,8.73913043478261
719,BB 612,8.756756756756756
720,BB 616,8.061224489795919
721,BB 618,8.333333333333334
722,BB 621,7.487288135593221
723,BB 623,8.710526315789474
724,BB 624,7.594594594594595
725,BB 640,9.117647058823529
726,BB 642,8.74
727,BB 655,8.205128205128204
728,BB 658,8.324324324324325
729,BB 662,8.923076923076923
730,BB 702,9.898550724637682
731,BBS802,9.224137931034482
732,CE 102,6.783429040196883
733,CE 232,7.15625
734,CE 607,7.6
735,CE 694,8.770186335403727
736,CE 695,9.352941176470589
737,CE 706,8.384615384615385
738,CE 718,8.26923076923077
739,CE 725,7.3076923076923075
740,CE 204,6.042402826855124
741,CE 228,7.562264150943396
742,CE 230,8.507142857142858
743,CE 433,6.942028985507246
744,CE 444,6.0
745,CE 448,7.802631578947368
746,CE 465,6.810344827586207
747,CE 495,9.306122448979592
748,CE 608,7.3125
749,CE 610,7.180851063829787
750,CE 620,7.475675675675675
751,CE 629,8.333333333333334
752,CE 645,7.809523809523809
753,CE 651,7.87
754,CE 652,7.666666666666667
755,CE 654,8.397260273972602
756,CE 656,8.416666666666666
757,CE 658,7.273224043715847
758,CE 659,7.913043478260869
759,CE 676,7.259740259740259
760,CE 677,7.972972972972973
761,CE 684,8.80952380952381
762,CE 687,5.904761904761905
763,CE 699,8.931818181818182
764,CE 707,8.1875
765,CE 708,7.3076923076923075
766,CE 719,7.029045643153527
767,CE 722,8.796875
768,CE 723,7.453125
769,CE 743,5.309352517985611
770,CE 749,5.820754716981132
771,CE 773,7.821428571428571
772,CE 780,7.732484076433121
773,CH 104,7.217948717948718
774,CH 220,6.528735632183908
775,CH 224,7.269662921348314
776,CH 408,7.9880239520958085
777,CH 438,8.114457831325302
778,CH 442,7.04424778761062
779,CH 504,8.430232558139535
780,CH 560,7.1525423728813555
781,CH 578,8.333333333333334
782,CH 586,7.705761316872428
783,CH 592,9.555555555555555
784,CH 594,9.417085427135678
785,CH 596,9.210526315789474
786,CH 824,9.0
787,CH 864,8.159420289855072
788,CHS802,9.569230769230769
789,CL 202,6.625850340136054
790,CL 333,8.037735849056604
791,CL 407,6.8661844484629295
792,CL 433,7.854368932038835
793,CL 451,6.369090909090909
794,CL 607,7.706730769230769
795,CLS802,9.25925925925926
796,CL 254,6.503322259136213
797,CL 306,7.056261343012705
798,CL 310,6.633971291866029
799,CL 325,7.344827586206897
800,CL 445,9.272727272727273
801,CL 494,9.75
802,CL 603,6.9185185185185185
803,CL 604,6.906542056074766
804,CL 613,7.553571428571429
805,CL 678,7.694158075601375
806,CL 686,7.428571428571429
807,CL 694,8.778688524590164
808,CL 716,5.684210526315789
809,CL 722,7.55
810,CM 402,7.611253196930947
811,CS 310,7.5949197860962565
812,CS 692,9.615384615384615
813,CS 741,7.7043478260869565
814,CS 777,9.277777777777779
815,CS 252,8.18199233716475
816,CS 302,7.182108626198083
817,CS 316,8.128834355828221
818,CS 317,7.541538461538462
819,CS 387,8.521604938271604
820,CS 406,7.118110236220472
821,CS 419,7.816625916870415
822,CS 496,9.714285714285714
823,CS 681,7.475
824,CS 684,8.016666666666667
825,CS 695,7.508361204013378
826,CS 719,7.2
827,CS 726,7.752659574468085
828,CS 728,8.347457627118644
829,CS 736,7.882352941176471
830,CS 748,8.52112676056338
831,CS 752,7.697885196374623
832,CS 753,7.758308157099698
833,CS 763,7.604651162790698
834,CS 766,7.631578947368421
835,CS 769,7.995121951219512
836,CS 772,7.682142857142857
837,CS 779,8.08108108108108
838,DS 303,7.648221343873518
839,EE 114,7.440056417489422
840,EE 214,7.952020202020202
841,EE 221,7.423529411764706
842,EE 324,9.20249653259362
843,EE 325,6.901185770750988
844,EE 340,7.910863509749303
845,EE 605,7.24031007751938
846,EE 616,8.239583333333334
847,EE 678,8.75
848,EE 692,9.5
849,EE 735,7.878787878787879
850,EE 799,8.3125
851,EE 238,7.441941074523397
852,EE 240,8.48607594936709
853,EE 302,7.133608815426998
854,EE 334,7.474683544303797
855,EE 337,8.113467656415695
856,EE 344,8.206043956043956
857,EE 606,6.825396825396825
858,EE 619,8.046099290780141
859,EE 620,7.7272727272727275
860,EE 621,7.154394299287411
861,EE 622,5.993975903614458
862,EE 636,7.341666666666667
863,EE 651,8.289855072463768
864,EE 654,7.697247706422019
865,EE 672,8.918032786885245
866,EE 699,8.135135135135135
867,EE 701,8.239583333333334
868,EE 705,9.036796536796537
869,EE 706,7.905913978494624
870,EE 708,7.265432098765432
871,EE 709,7.84257602862254
872,EE 719,7.75
873,EE 722,7.21025641025641
874,EE 727,9.23076923076923
875,EE 728,8.514084507042254
