Course Code,Average Grade,CBS,nXX,Course Name,Course Type
ES 645,8.204081632653061,4.510039266421314,6,Environmental Law and Policy,Theory
ES 647,8.30327868852459,6.054795927831965,6,Municipal Solid and Biomedical Waste Management,Theory
ES 649,8.243243243243244,3.806950685466589,6,Atmospheric Processes and Climate Change,Theory
ES 653,9.0354609929078,7.186279038159401,6,Environmental Impact Assessment,Theory
ES 655,8.45945945945946,5.093601542460789,6,Environmental Management,Theory
ES 657,6.1,1.0963665249934018,6,Water Resources and Environmental Hydraulics”,Theory
ES 659,6.371428571428571,1.2878837368744265,6,Mathematics and Statistics for Environmental Engineering”,Theory
ES 694,7.934426229508197,4.582238718627591,6,Seminar,Seminar
ESS801,9.3125,3.9740986781749976,8,Seminar,Seminar
ES 208,5.986666666666666,1.6838787043333492,2,Mass Transfer Process in Environmental Systems,Theory
ES 302,8.063157894736841,3.896093489322823,3,Environmental Biotechnology,Theory
ES 493,8.391304347826088,1.4185841839097104,4,MSc-PhD Project I,Other Project
ES 495,7.736842105263157,0.9056998735047952,4,MSc-PhD Project III,Other Project
ES 670,8.25925925925926,4.566258163838169,6,Environmental Statistics,Theory
ES 682,7.4015748031496065,2.351802053702474,6,Numerical Methods for Environmental Systems,Theory
ET 601,9.166666666666666,6.081166042663819,6,Introduction to Educational Technology,Theory
ET 610,8.104347826086956,4.463891528530802,6,Learning Analytics and Educational Data Mining,Theory
ET 612,8.790322580645162,5.65419387525647,6,Statistical Methods for Educational Research,Theory
ET 613,9.088235294117649,6.774785349182472,6,Human-Computer Interaction for Educational Technology,Theory
ET 619,9.409090909090908,3.615748666124503,6,Field Work in Educational Technology,Theory
GNR401,7.205555555555556,2.3952204346942394,4,Remote sensing and Image Processing,Theory
GNR603,7.88268156424581,4.211653269990541,6,Principles of Remote Sensing,Theory
GNR605,8.25,5.113486055680184,6,Principles of Geographic Information Systems,Theory
GNR607,7.586734693877551,3.4212646975092977,6,Principles of Satellite Image Processing,Theory
GNR619,7.753846153846154,3.655139766830716,6,Natural Resources : Lithosphere and Biosphere,Theory
GNR621,8.029940119760479,5.0267342179744565,6,"Natural Resources: Hydroshpere, Cryosphere and Atmosphere",Theory
GNR623,8.333333333333334,2.3910607691853447,6,GPS : Principles and Applications,Theory
GNR627,8.840579710144928,5.26873901499078,6,Geospatial Predictive Modelling,Theory
GNR638,8.295698924731182,5.306813657179135,6,Machine Learning for Remote Sensing - II,Theory
GNR653,8.310344827586206,2.1310098140864424,6,Data Analysis Methods for Geospatial Applications,Theory
GNRS01,8.333333333333334,1.6329294759390487,0,Seminar,Seminar
GP 401,8.88888888888889,5.472513972652706,4,Global Geophysics,Theory
GP 403,6.950617283950617,2.290524940353613,4,Earthquake and Engineering Seismology,Theory
GP 407,8.704225352112676,5.3747190040568125,4,Seismology Lab,Lab
GP 413,8.273972602739725,3.804027215484475,4,Mineralogy & Petrology,Theory
GP 503,6.424657534246576,0.432981532833375,5,Geophysical Signal Processing,Theory
GP 505,6.43859649122807,0.4525539866337033,5,Electromagnetic Methods,Theory
GP 519,8.894736842105264,4.780414658505324,5,Engineering & Ground Water Geology Lab,Lab
GP 521,8.75,5.207997851291713,5,Electromagnetic Lab,Lab
GS 407,9.187919463087248,7.219003988848466,4,Strucural Geology,Theory
GS 415,8.815068493150685,6.264477827848435,4,Applied Mineralogy and X-Ray Crystallography,Theory
GS 421,8.604026845637584,4.93619515556951,4,Palaeontology,Theory
GS 435,9.205479452054794,7.693521735216466,4,"Mineralogy, Crystallography and Optics Lab",Lab
GS 507,8.252525252525253,4.188398208303648,5,Engineering & Ground Water Geology,Theory
GS 517,7.475524475524476,3.60514303495798,5,Solid Earth and Exploration Geophysics,Theory
GS 527,8.464285714285714,4.917420362051447,5,Ore Petrology,Theory
GS 535,8.12206572769953,5.276079470142996,5,Statistical Methods in Geosciences,Theory
GS 537,7.726666666666667,4.006594587858521,5,Geochemistry and Geochemical Thermodynamics,Theory
GS 539,9.284671532846716,7.688615523964742,5,Engineering Geology and Groundwater Lab,Lab
GS 543,8.244813278008298,4.80632725144759,5,Computer Programming for Geosciences,Theory
GS 647,7.913043478260869,1.8285712738010296,6,Principles and Applications in Isotope Geology,Theory
GS 649,9.232558139534884,5.421935243159994,6,Tectonics and Mechanism of Mobile Belts,Theory
GS 663,8.142857142857142,2.6540262037565485,6,Exploration Geophysics,Theory
GS 671,8.36923076923077,4.019934657020569,6,Groundwater Exploration,Theory
GS 673,7.871428571428571,3.0695942490399664,6,Mineral Exploration,Theory
GS 675,7.590604026845638,4.403134722549063,6,Petroleum Exploration,Theory
GS 679,7.355371900826446,2.5138468893763424,6,Basin Analysis and Applied Micropalaeontology,Theory
GS 683,8.157894736842104,3.1208403933287583,6,Advanced Structural Analysis,Theory
GS 688,8.647058823529411,4.470413061842499,6,Petroleum Geochemistry,Theory
GS 691,8.84375,3.813812713158415,6,R & D Project,Other Project
GS 694,8.351145038167939,5.887626942561917,6,Seminar,Seminar
GS 701,7.602272727272727,2.1370677370659683,7,Seismic Data Processing and Seismic Stratigraphy,Theory
GS 815,9.3,2.0636389393518986,8,Sedimentary Environments and Facies,Theory
EC 101,7.664709225232052,3.182161051415332,1,Economics,Theory
HS 200,7.61741357234315,2.91400269601957,2,Environmental Studies,Theory
EC 221,7.779310344827586,2.7853898137039104,2,Intermediate Microeconomics I,Theory
EC 223,7.573426573426573,3.5189766929014183,2,Intermediate Macroeconomics-I,Theory
EC 225,6.818181818181818,1.8095302946643648,2,Mathematics for Economics,Theory
EC 227,7.492857142857143,2.795682508622781,2,Statistics I,Theory
HS 301,7.730316742081448,2.2824463004073525,3,Philosophy,Theory
HS 303,7.525704809286899,3.2869949296458474,3,Psychology,Theory
HS 305,7.066838046272494,3.216733626186495,3,Reading Literature,Theory
EC 306,7.554744525547445,2.7652406833481025,3,Econometrics I,Theory
EC 308,7.688888888888889,2.946322211430373,3,Econometrics I Lab,Lab
EC 311,7.829457364341085,3.255812471169002,3,International Economics I,Theory
EC 313,7.548148148148148,2.680539967249566,3,Development Economics I,Theory
EC 315,7.6940298507462686,3.134891841183319,3,Public Finance,Theory
EC 402,7.63302752293578,2.9730061926837044,4,Game Theory and Economic Analysis,Theory
HS 412,7.044776119402985,3.1153454595439296,4,Social Movement and Social Change: Contemporary Reflections,Theory
HS 418,7.3076923076923075,3.1811424000053266,4,Human Cognitive Processes,Theory
HS 436,7.694545454545454,4.10030134624233,4,Indian Culture and Tradition,Theory
EC 495,8.135593220338983,2.9975822016977136,4,BS Project Stage I,Other Project
HS 501,8.522727272727273,3.1222496605473955,5,Vedanta Philosophy in the Vedic Tradition,Theory
HS 503,8.0,2.06656412138333,5,Philosophy in the Age of the Greeks,Theory
HS 505,8.069767441860465,1.705831938259254,5,Western Philosophy and the Advent of Modern Science,Theory
HS 636,6.519230769230769,1.4004899044368229,6,Development of Mathematics in India,Theory
HS 637,8.010989010989011,2.363312780848496,6,Anthropology and Disaster,Theory
HS 694,8.666666666666666,3.540779643302145,6,Seminar,Seminar
HS 800,8.867924528301886,4.0980487265487024,8,Research Methods in Social Sciences,Theory
